Name,Year,Total Population,Growth Rate,Population Density (per sq km),Total Fertility Rate,Life Expectancy at Birth,Under-5 Mortality Rate,Sex Ratio of the Population,Youth and Old Age (0-14 and 65+),Youth (0-14),Old Age (65+),Both Sexes,Male,Female
United States,2020.0,331526933,0.3779584390145434,36.2,1.63,79.10000000000002,6.599999999999994,0.98,53.7,28.4,25.2,38.5,39.6,37.5
Vietnam,2020.0,101745119,1.04,328.1,2.08,75.0,19.9,1.0,44.8,34.8,10.0,31.4,32.5,30.4
Argentina,2021.0,45044145,0.17,16.5,1.55,74.5,15.3,0.98,53.8,34.7,19.1,33.1,34.3,31.9
Australia,2021.0,25809973,1.31,3.4,1.74,82.9,3.7,0.99,53.4,28.6,24.8,37.6,38.7,36.6
Austria,2021.0,9035953,0.52,109.6,1.43,81.5,4.0,0.95,51.4,21.4,30.0,44.1,45.1,43.0
Bangladesh,2021.0,164098818,0.95,1260.7,2.1,74.4,38.4,0.97,49.5,38.9,10.6,28.3,29.1,27.5
Belgium,2021.0,11657421,0.64,385.0,1.61,81.8,3.7,0.97,56.8,26.1,30.7,42.0,43.1,41.0
Brazil,2021.0,215903281,0.54,25.8,1.6,75.2,17.9,0.97,43.1,29.0,14.1,33.9,34.9,32.9
Canada,2021.0,38055469,0.86,4.2,1.46,83.9,4.8,0.98,54.3,24.3,30.0,42.0,43.1,40.8
Chile,2021.0,18677357,0.55,25.1,1.27,78.5,6.4,0.97,44.9,27.0,17.9,36.5,37.6,35.5
China,2021.0,1412197329,-0.0,151.4,1.11,77.7,7.9,1.05,44.0,25.2,18.8,38.9,39.9,37.8
Colombia,2021.0,48757939,0.64,46.9,1.95,74.9,13.8,0.96,49.6,34.2,15.3,31.7,32.9,30.5
Czech Republic,2021.0,10797500,0.2,139.8,1.75,77.5,3.4,0.97,56.6,24.8,31.7,43.4,44.8,42.1
Denmark,2021.0,5862234,0.56,138.1,1.73,81.4,3.7,0.99,57.2,25.3,31.8,42.3,43.4,41.3
Egypt,2021.0,105919663,1.78,106.4,2.99,74.2,21.4,1.06,67.0,58.8,8.2,23.7,23.7,23.6
Finland,2021.0,5534699,0.27,18.2,1.47,81.8,2.2,0.98,62.2,25.0,37.2,43.4,45.0,41.9
France,2021.0,67945112,0.22,106.1,1.91,82.3,4.2,0.96,63.6,29.2,34.4,42.1,43.8,40.5
Germany,2021.0,84409193,-0.11,242.1,1.57,81.3,3.9,0.98,56.8,21.4,35.4,46.6,48.1,45.2
Greece,2021.0,10569703,-0.34,80.9,1.39,81.3,4.2,0.95,59.0,22.9,36.1,45.6,47.1,43.9
Hungary,2021.0,9971543,-0.66,111.3,1.59,74.0,6.2,0.95,55.5,22.9,32.6,44.0,45.7,42.1
India,2021.0,1380721926,0.62,464.4,2.13,66.8,34.1,1.06,47.7,37.5,10.3,28.9,29.6,28.3
Indonesia,2021.0,275122131,0.81,151.9,2.04,72.8,24.1,1.0,47.6,37.1,10.6,30.6,31.3,29.9
Iraq,2021.0,39650145,2.06,90.7,3.32,72.9,24.1,1.01,66.3,60.6,5.7,21.5,21.9,21.1
Ireland,2021.0,5070166,0.72,73.6,1.72,82.6,3.4,0.99,53.1,30.2,22.9,39.0,39.3,38.7
Israel,2021.0,8968042,1.6,417.2,3.0,81.9,4.0,1.01,65.9,46.2,19.8,29.9,30.5,29.3
Italy,2021.0,61196793,-0.2,208.1,1.2,82.1,3.9,0.93,54.6,19.3,35.2,47.4,48.4,46.3
Japan,2021.0,124687293,-0.37,342.1,1.38,84.7,2.6,0.95,70.7,21.5,49.2,48.7,50.0,47.3
Kazakhstan,2021.0,19707245,0.99,7.3,2.6,72.5,10.2,0.94,58.2,44.4,13.8,31.3,33.0,29.6
South Korea,2021.0,51866537,-0.22,535.1,0.81,84.5,2.8,1.0,40.3,16.5,23.8,44.6,46.2,43.0
Malaysia,2021.0,33519406,1.06,102.0,1.76,75.9,8.2,1.05,43.7,32.9,10.8,30.6,30.7,30.5
Mexico,2021.0,128569498,0.4,66.1,1.62,71.1,13.4,0.96,48.3,36.8,11.5,30.2,31.4,28.9
Netherlands,2021.0,17493062,0.66,516.1,1.6,81.3,4.4,0.99,54.5,23.7,30.8,42.4,43.6,41.2
New Zealand,2021.0,4991442,1.28,18.9,1.87,82.3,4.2,1.0,54.6,30.2,24.4,37.3,38.1,36.6
Nigeria,2021.0,219463862,2.53,241.0,4.67,60.9,88.7,1.02,80.7,74.7,6.0,18.8,19.1,18.6
Pakistan,2021.0,238181034,1.99,309.0,3.53,69.4,70.6,1.04,67.0,59.4,7.6,22.3,22.4,22.2
Peru,2021.0,32110270,0.51,25.1,2.23,68.9,13.9,0.97,53.0,40.4,12.6,29.8,30.6,29.0
Philippines,2021.0,112771402,1.61,378.2,2.79,69.8,28.7,1.01,57.2,49.0,8.2,25.0,25.5,24.4
Poland,2021.0,38184917,-0.68,125.5,1.3,73.7,6.8,0.94,51.5,22.6,28.8,42.1,43.8,40.5
