Name,Year,Total Population,Growth Rate,Population Density (per sq km),Total Fertility Rate,Life Expectancy at Birth,Under-5 Mortality Rate,Sex Ratio of the Population,Youth and Old Age (0-14 and 65+),Youth (0-14),Old Age (65+),Both Sexes,Male,Female
Czech Republic,2024.0,10837890,0.04,140.3,1.73,78.6,3.2,0.97,56.7,24.6,32.2,44.2,45.7,42.7
Denmark,2024.0,6009711,0.75,141.6,1.52,81.2,3.6,0.99,57.2,24.7,32.5,42.2,43.4,41.1
Egypt,2024.0,111247248,1.49,111.8,2.65,75.0,19.8,1.06,65.0,55.7,9.2,24.4,24.4,24.3
Finland,2024.0,5548944,0.04,18.3,1.28,81.8,2.5,0.98,62.4,23.8,38.5,43.9,45.5,42.3
France,2024.0,68374591,0.2,106.8,1.9,82.6,4.1,0.96,64.8,28.6,36.2,42.6,44.2,41.0
Germany,2024.0,84119100,-0.12,241.3,1.58,81.9,3.8,0.98,60.0,22.1,37.9,46.8,48.3,45.5
Greece,2024.0,10461091,-0.35,80.1,1.41,81.9,4.0,0.96,59.8,22.0,37.8,46.5,48.3,44.6
Hungary,2024.0,9855745,-0.28,110.0,1.6,76.0,5.5,0.95,56.4,22.8,33.6,44.8,46.7,42.8
India,2024.0,1409128296,0.72,473.9,2.03,68.2,34.2,1.06,45.5,35.6,9.9,29.8,30.5,29.1
Indonesia,2024.0,281562465,0.73,155.4,1.96,73.6,22.5,1.0,46.5,34.8,11.6,31.5,32.3,30.8
Iraq,2024.0,42083436,1.99,96.2,3.1,73.7,22.4,1.02,62.0,56.1,5.9,22.4,22.7,22.0
Ireland,2024.0,5233461,0.93,76.0,1.72,82.0,3.5,0.98,52.6,28.5,24.1,40.2,40.6,39.7
Israel,2024.0,9402617,1.58,437.4,2.92,83.1,3.6,1.01,65.9,45.6,20.4,30.1,30.7,29.6
Italy,2024.0,60964931,-0.08,207.3,1.26,83.0,3.6,0.93,55.0,18.4,36.6,48.4,49.4,47.4
Japan,2024.0,123201945,-0.43,338.0,1.4,85.2,2.5,0.95,71.2,20.8,50.4,49.9,51.3,48.3
Kazakhstan,2024.0,20260006,0.86,7.5,2.58,73.3,9.7,0.94,59.3,44.0,15.3,31.9,33.8,30.0
South Korea,2024.0,51530947,-0.08,531.7,0.68,84.7,2.7,0.99,43.6,15.2,28.4,46.4,48.1,44.9
Malaysia,2024.0,34564810,0.99,105.2,1.73,76.6,7.8,1.05,44.2,32.0,12.1,31.8,31.9,31.7
Mexico,2024.0,130739927,0.72,67.3,1.79,74.6,14.0,0.96,45.9,33.9,11.9,30.8,32.7,28.8
Netherlands,2024.0,17772378,0.39,524.4,1.61,81.9,4.2,0.99,56.0,23.7,32.4,42.2,43.5,40.9
New Zealand,2024.0,5161211,0.95,19.5,1.85,82.9,4.0,1.0,55.8,29.5,26.3,37.9,38.6,37.2
Nigeria,2024.0,236747130,2.52,259.9,4.52,62.2,80.8,1.02,77.9,71.9,6.0,19.3,19.6,19.1
Pakistan,2024.0,252363571,1.86,327.4,3.32,70.3,65.6,1.04,64.8,56.7,8.1,22.9,23.0,22.8
Peru,2024.0,32600249,0.48,25.5,2.15,68.9,13.9,0.96,51.0,39.0,12.0,30.2,31.3,29.1
Philippines,2024.0,118277063,1.56,396.7,2.75,70.8,28.3,1.0,55.6,47.0,8.7,25.7,26.3,25.1
Poland,2024.0,38746310,-1.0,127.3,1.32,76.7,5.7,0.91,51.6,21.6,30.1,42.9,44.3,41.5
Portugal,2024.0,10207177,-0.14,111.6,1.45,81.9,3.0,0.9,53.8,19.5,34.3,46.4,48.3,44.3
Qatar,2024.0,2552088,0.71,220.3,1.9,80.3,8.8,3.32,17.1,15.4,1.7,34.3,28.1,35.7
Romania,2024.0,18148155,-0.94,78.9,1.63,76.9,6.4,0.93,61.3,24.9,36.4,45.5,46.9,44.0
Russia,2024.0,140820810,-0.49,8.6,1.52,72.3,8.2,0.87,52.2,25.2,27.0,41.9,44.5,39.4
Saudi Arabia,2024.0,36544431,1.68,17.0,1.87,77.2,13.4,1.31,37.5,31.5,6.1,32.4,29.3,34.6
Singapore,2024.0,6028459,0.87,8502.8,1.17,86.7,1.9,1.0,40.7,20.6,20.2,39.4,40.6,38.0
South Africa,2024.0,60442647,1.07,49.8,2.27,71.9,26.3,0.96,53.1,41.6,11.5,30.4,30.6,30.1
Sweden,2024.0,10589835,0.51,25.8,1.67,82.9,2.7,1.01,61.1,27.6,33.5,41.1,42.1,40.1
Switzerland,2024.0,8860574,0.75,221.5,1.59,83.9,3.6,0.99,54.8,23.3,31.5,44.2,44.9,43.5
Thailand,2024.0,69920998,0.17,136.9,1.54,78.2,8.4,0.95,44.8,22.9,21.9,41.5,42.7,40.2
Turkey,2024.0,84119531,0.61,109.3,1.9,76.7,21.1,1.01,45.8,31.7,14.1,34.0,34.6,33.4
UAE,2024.0,10032213,0.6,120.0,1.61,79.9,5.4,2.13,22.9,20.1,2.7,35.8,29.8,38.1
United Kingdom,2024.0,68459055,0.45,283.0,1.63,82.2,4.3,0.99,56.4,26.2,30.2,40.8,41.5,40.1
United States,2024.0,336482168,0.47,36.8,1.63,79.9,6.2,0.98,55.4,27.0,28.4,39.3,40.5,38.2
Vietnam,2024.0,105758975,0.89,341.1,2.03,76.1,18.1,1.01,45.9,33.8,12.1,33.1,34.2,32.0
Argentina,2025.0,45418098,0.26,16.6,1.43,78.0,9.0,0.99,49.9,30.3,19.6,34.6,35.8,33.5
Australia,2025.0,27062848,1.06,3.5,1.73,83.7,3.5,0.99,54.9,28.1,26.7,38.2,39.4,37.0
Austria,2025.0,9174390,0.28,111.3,1.35,82.2,3.9,0.95,54.3,21.8,32.5,44.5,45.4,43.5
Bangladesh,2025.0,170183916,0.87,1307.4,2.06,75.5,34.6,0.96,48.9,37.0,11.9,30.0,30.9,29.1
Belgium,2025.0,11960170,0.45,395.0,1.46,82.5,3.7,0.98,57.6,24.9,32.6,42.4,43.5,41.4
Brazil,2025.0,221359387,0.58,26.5,1.73,76.5,16.0,0.97,44.3,28.1,16.2,35.4,36.5,34.3
Canada,2025.0,39187155,0.73,4.3,1.43,84.8,4.4,0.99,57.7,23.8,33.9,42.8,44.1,41.4
Chile,2025.0,19091343,0.46,25.7,1.25,80.5,5.3,0.97,45.0,24.1,20.9,38.9,39.9,37.8
China,2025.0,1407181209,-0.08,150.9,1.2,78.8,7.1,1.04,43.4,22.4,21.0,40.8,42.2,39.6
Colombia,2025.0,49842298,0.54,48.0,1.94,76.8,13.7,0.95,50.7,33.2,17.5,33.1,34.4,31.8
Czech Republic,2025.0,10838703,-0.02,140.3,1.73,79.0,3.1,0.97,56.5,24.3,32.2,44.4,46.0,42.9
Denmark,2025.0,6051491,0.64,142.6,1.5,81.2,3.6,0.98,57.2,24.5,32.7,42.2,43.3,41.0
Egypt,2025.0,112870457,1.4,113.4,2.53,75.2,19.3,1.06,63.7,54.2,9.5,24.6,24.7,24.6
Finland,2025.0,5550449,0.02,18.3,1.28,82.0,2.5,0.98,62.3,23.3,39.0,44.0,45.7,42.6
France,2025.0,68512806,0.2,107.0,1.9,82.8,4.1,0.96,65.2,28.4,36.8,42.7,44.3,41.1
Germany,2025.0,84012284,-0.13,240.9,1.59,82.1,3.7,0.98,61.3,22.4,38.9,46.9,48.3,45.6
Greece,2025.0,10424536,-0.35,79.8,1.42,82.1,3.9,0.96,60.1,21.7,38.4,46.8,48.7,44.8
Hungary,2025.0,9827455,-0.29,109.7,1.6,76.3,5.5,0.95,56.7,22.8,33.9,45.1,47.0,43.0
India,2025.0,1419316933,0.72,477.4,2.0,68.7,34.3,1.06,45.0,35.0,10.0,30.1,30.8,29.5
Indonesia,2025.0,283587097,0.7,156.5,1.93,73.8,22.1,1.0,46.1,34.1,12.0,31.8,32.6,31.1
Iraq,2025.0,42917742,1.94,98.1,3.03,74.0,21.9,1.02,60.5,54.6,5.9,22.7,23.1,22.4
Ireland,2025.0,5279007,0.8,76.6,1.72,82.2,3.4,0.98,52.5,27.9,24.6,40.5,41.0,40.0
Israel,2025.0,9552637,1.59,444.4,2.89,83.9,3.4,1.01,65.7,45.2,20.6,30.2,30.8,29.7
Italy,2025.0,60924851,-0.05,207.1,1.27,83.2,3.6,0.93,55.3,18.1,37.2,48.8,49.8,47.7
Japan,2025.0,122664433,-0.45,336.5,1.41,85.4,2.4,0.95,71.3,20.5,50.8,50.2,51.7,48.6
Kazakhstan,2025.0,20432662,0.83,7.6,2.57,73.5,9.5,0.94,59.4,43.6,15.8,32.1,34.0,30.1
South Korea,2025.0,51486343,-0.09,531.2,0.68,85.1,2.6,0.99,44.9,14.7,30.2,47.0,48.7,45.5
Malaysia,2025.0,34905275,0.97,106.2,1.73,76.9,7.7,1.05,44.3,31.7,12.6,32.2,32.3,32.1
Mexico,2025.0,131741347,0.81,67.8,1.85,75.6,14.3,0.96,45.2,33.1,12.2,31.0,33.1,28.9
Netherlands,2025.0,17833885,0.3,526.2,1.62,82.1,4.1,0.99,56.8,23.7,33.0,42.2,43.5,40.9
New Zealand,2025.0,5207259,0.83,19.7,1.84,83.1,3.9,1.0,56.3,29.3,26.9,38.1,38.9,37.4
Nigeria,2025.0,242794751,2.52,266.6,4.46,62.7,78.4,1.02,77.1,71.1,6.1,19.5,19.8,19.2
Pakistan,2025.0,257047044,1.82,333.4,3.25,70.5,64.1,1.04,64.0,55.8,8.2,23.2,23.3,23.1
Peru,2025.0,32768614,0.55,25.6,2.12,69.8,13.7,0.96,50.4,38.4,12.0,30.4,31.6,29.3
Philippines,2025.0,120117029,1.53,402.8,2.74,70.9,28.3,1.0,55.3,46.4,8.8,25.9,26.5,25.3
Poland,2025.0,38364679,-0.98,126.1,1.33,77.7,5.4,0.91,52.5,21.4,31.1,43.4,44.9,42.0
Portugal,2025.0,10194277,-0.11,111.4,1.46,82.1,3.0,0.9,54.3,19.3,35.0,46.8,48.8,44.7
Qatar,2025.0,2568426,0.57,221.7,1.9,80.5,8.6,3.3,17.3,15.4,1.8,34.4,28.1,35.8
Romania,2025.0,17985252,-0.86,78.2,1.63,77.4,6.2,0.93,61.5,24.7,36.8,45.8,47.3,44.3
Russia,2025.0,140134279,-0.49,8.6,1.52,72.5,8.1,0.87,52.6,24.7,27.9,42.3,44.8,39.8
Saudi Arabia,2025.0,37172774,1.73,17.3,1.84,77.4,13.0,1.31,36.9,30.5,6.3,32.8,29.7,35.0
Singapore,2025.0,6080545,0.85,8576.2,1.18,86.8,1.9,1.0,41.6,20.5,21.2,39.8,41.1,38.4
South Africa,2025.0,61089926,1.06,50.3,2.23,72.7,25.5,0.96,53.0,41.1,11.8,30.7,30.9,30.3
Sweden,2025.0,10643745,0.51,25.9,1.66,83.0,2.7,1.02,60.9,27.3,33.6,41.2,42.2,40.2
Switzerland,2025.0,8925741,0.72,223.2,1.59,83.9,3.5,0.99,55.8,23.5,32.3,44.4,45.1,43.7
Thailand,2025.0,70025248,0.13,137.1,1.55,78.4,8.2,0.95,45.9,22.9,23.1,41.9,43.2,40.6
Turkey,2025.0,84625585,0.59,110.0,1.88,77.0,20.5,1.01,45.7,31.2,14.6,34.4,35.0,33.8
UAE,2025.0,10093593,0.63,120.7,1.6,80.1,5.3,2.09,23.4,20.4,3.0,35.8,29.7,38.2
United Kingdom,2025.0,68751311,0.4,284.2,1.64,82.3,4.3,0.99,56.7,26.0,30.7,40.9,41.7,40.3
United States,2025.0,338016259,0.45,36.9,1.63,80.1,6.1,0.98,56.0,26.8,29.2,39.5,40.7,38.4
Vietnam,2025.0,106688169,0.86,344.1,2.01,76.3,17.7,1.01,46.4,33.6,12.8,33.5,34.7,32.4
